Nome,Tipo,Modalità,Sottomodalità,Relazione,Domanda (In che misura pensi a questa proprietà come…),Esempio Alto,Spiegazione Alta,Esempio Medio,Spiegazione Media
Lento,Sensoriale,Visione,Movimento,descrivere,In che misura pensi a questa proprietà come descrivere una qualità lenta del movimento visibile,lento,dire che qualcosa è lento significa che si muove lentamente.,calmo,un movimento calmo è attento e abbastanza lento.
Forma,Sensoriale,Visione,Forma,descrivere,In che misura pensi a questa proprietà come descrivere una qualità o tipo di forma o figura visiva,rotondo,dire che qualcosa è rotondo significa che ha una forma particolare.,sottile,dire che qualcosa è sottile descrive un aspetto della sua forma.
Complessità,Sensoriale,Visione,Forma,N/A,N/A,N/A,N/A,N/A,N/A
Viso,Sensoriale,Visione,Forma,descrivere,In che misura pensi a questa proprietà come descrivere una qualità visiva di un viso umano,bello,dire che qualcuno è bello significa che ha un viso visivamente attraente.,abbronzato,abbronzato può riferirsi all'aspetto del viso di qualcuno.
Corpo,Sensoriale,Visione,Forma,descrivere,In che misura pensi a questa proprietà come descrivere una qualità visiva di un corpo umano o parte del corpo,allampanato,dire che qualcuno è allampanato significa che ha un corpo lungo.,sottile,sottile può riferirsi al corpo o a un arto di qualcuno.
Tatto,Sensoriale,Somatico,Generale,descrivere,In che misura pensi a questa proprietà come descrivere come qualcosa si sente al tatto,liscio,dire che qualcosa è liscio significa che si sente in un modo particolare al tatto.,peloso,peloso può riferirsi a come qualcosa si sente al tatto.
Caldo,Sensoriale,Somatico,Superficie,descrivere,In che misura pensi a questa proprietà come descrivere una qualità calda al tatto,scottante,dire che qualcosa è scottante significa che è molto caldo al tatto.,caldo,le cose calde si sentono abbastanza calde al tatto.
Freddo,Sensoriale,Somatico,Superficie,descrivere,In che misura pensi a questa proprietà come descrivere una qualità fredda al tatto,gelido,dire che qualcosa è gelido significa che è molto freddo al tatto.,fresco,le cose fresche si sentono abbastanza fredde al tatto.
Liscio,Sensoriale,Somatico,Superficie,descrivere,In che misura pensi a questa proprietà come descrivere una qualità liscia al tatto,setoso,dire che qualcosa è setoso significa che è molto liscio al tatto.,fine,le cose fini si sentono abbastanza lisce al tatto.
Ruvido,Sensoriale,Somatico,Superficie,descrivere,In che misura pensi a questa proprietà come descrivere una qualità ruvida al tatto,ispido,dire che qualcosa è ispido significa che è molto ruvido al tatto.,irregolare,le cose irregolari si sentono abbastanza ruvide al tatto.
Leggero,Sensoriale,Somatico,Propriocezione,descrivere,In che misura pensi a questa proprietà come descrivere la leggerezza di peso,leggerissimo,dire che qualcosa è leggerissimo significa che è molto leggero di peso.,portatile,le cose portatili sono abbastanza leggere di peso.
Pesante,Sensoriale,Somatico,Propriocezione,descrivere,In che misura pensi a questa proprietà come descrivere la pesantezza di peso,massiccio,dire che qualcosa è massiccio significa che è molto pesante di peso.,ingombrante,le cose ingombranti sono abbastanza pesanti di peso.
Dolore,Sensoriale,Somatico,Nocicezione,descrivere,In che misura pensi a questa proprietà come descrivere dolore o disagio fisico,doloroso,dire che qualcosa è doloroso significa che produce dolore.,scomodo,le cose scomode sono abbastanza dolorose.
Udito,Sensoriale,Udito,Generale,descrivere,In che misura pensi a questa proprietà come descrivere come suona qualcosa,musicale,dire che qualcosa è musicale descrive qualcosa su come suona.,basso,basso a volte si riferisce a come suona qualcosa.
Forte,Sensoriale,Udito,Intensità,descrivere,In che misura pensi a questa proprietà come descrivere una qualità forte del suono,tuonante,dire che un suono è tuonante significa che è forte.,squillante,dire che un suono è squillante significa che è abbastanza forte.
Basso,Sensoriale,Udito,Frequenza,descrivere,In che misura pensi a questa proprietà come descrivere una qualità di bassa frequenza del suono,rombante,dire che un suono è rombante significa che ha un suono basso.,profondo,profondo può riferirsi a un suono a bassa frequenza.
Alto,Sensoriale,Udito,Frequenza,descrivere,In che misura pensi a questa proprietà come descrivere una qualità di alta frequenza del suono,fischiante,dire che un suono è fischiante significa che ha un suono alto.,squillante,i suoni squillanti sono di solito abbastanza acuti.
Suono,Sensoriale,Udito,Forma,descrivere,In che misura pensi a questa proprietà come descrivere una qualità sonora caratteristica di un particolare tipo di cosa,squillante,dire che un suono è squillante significa che suona come un uccello.,cigolante,i suoni cigolanti possono o meno essere identificabili.
Musica,Sensoriale,Udito,Forma,descrivere,In che misura pensi a questa proprietà come descrivere una qualità musicale del suono,melodioso,dire che un suono è melodioso significa che ha un suono musicale.,squillante,un suono squillante può o meno essere musicale.
Parlato,Sensoriale,Udito,Fonema,descrivere,In che misura pensi a questa proprietà come descrivere una qualità della voce di una persona,rauco,rauco è una descrizione della qualità sonora della voce di una persona.,profondo,profondo può riferirsi a una qualità della voce di una persona.
Gusto,Sensoriale,Gustazione,Qualità,descrivere,In che misura pensi a questa proprietà come descrivere come sa qualcosa,salato,dire che qualcosa è salato descrive qualcosa su come sa.,insipido,insipido può riferirsi a come sa qualcosa.
Odore,Sensoriale,Olfattivo,Qualità,descrivere,In che misura pensi a questa proprietà come descrivere come odora qualcosa,fragrante,dire che qualcosa è fragrante descrive qualcosa su come odora.,dolce,dolce può riferirsi a come odora qualcosa.
Testa,Motorio,Motorio,Motorio,essere correlato a,"In che misura pensi a questa proprietà come essere correlato ad azioni del viso, della bocca o della lingua",contratto,contratto è una descrizione relativa a un'azione del viso.,espressivo,espressivo è una descrizione che potrebbe essere correlata a un'azione del viso.
Arto Superiore,Motorio,Motorio,Motorio,essere correlato a,"In che misura pensi a questa proprietà come essere correlato ad azioni del braccio, della mano o delle dita",destro,destro è una descrizione relativa ad azioni delle mani o delle dita.,forte,forte è una descrizione che potrebbe essere correlata a un'azione delle mani o delle dita.
Arto Inferiore,Motorio,Motorio,Motorio,essere correlato a,In che misura pensi a questa proprietà come essere correlato ad azioni della gamba o del piede,rimbalzante,rimbalzante è una descrizione relativa ad azioni di gambe e piedi.,aggraziato,aggraziato è una descrizione che potrebbe essere correlata a un'azione di gambe o piedi.
Pratica,Motorio,Motorio,Motorio,N/A,N/A,N/A,N/A,N/A,N/A
Punto di Riferimento,Spaziale,Navigazione,Navigazione,descrivere,"In che misura pensi a questa proprietà come descrivere la posizione di qualcosa, come su una mappa",costiero,costiero è una descrizione di una posizione geografica.,locale,locale indica una posizione generale nelle vicinanze.
Percorso,Spaziale,Navigazione,Navigazione,descrivere,In che misura pensi a questa proprietà come descrivere un tipo di direzione o percorso di movimento,lineare,lineare è una descrizione di un tipo di percorso o direzione di movimento.,indiretto,indiretto può riferirsi a un percorso tortuoso o curvo.
Scena,Spaziale,Scena,Scena,descrivere,In che misura pensi a questa proprietà come descrivere una scena o ambientazione visiva specifica,paludoso,paludoso è una descrizione di un tipo specifico di luogo o scena.,rurale,rurale può evocare un particolare ambientazione rurale.
Vicino,Spaziale,Spazio del Sé,Prossimità,descrivere,In che misura pensi a questa proprietà come descrivere vicinanza o prossimità fisica,vicino,dire che qualcosa è vicino significa che è fisicamente near a te.,circostante,le cose circostanti sono relativamente vicine a te.
Verso,Spaziale,Spazio del Sé,Verso,descrivere,In che misura pensi a questa proprietà come descrivere qualcosa che si avvicina verso o dentro di te,in avvicinamento,dire che qualcosa si sta avvicinando significa che sta venendo verso di te.,atteso,dire che qualcosa è atteso significa che probabilmente arriverà.
Lontano,Spaziale,Spazio del Sé,Lontano,descrivere,In che misura pensi a questa proprietà come descrivere qualcosa che si allontana da o esce da te,che si allontana,dire che qualcosa si allontana significa che sta andando via da te.,che scompare,dire che qualcosa sta scomparendo può indicare che si sta allontanando.
Numero,Numero,Numero,Numero,essere associato a,In che misura pensi a questa proprietà come essere associato a un numero o quantità specifici,triangolare,dire che qualcosa è triangolare significa che ha 3 lati.,mensile,la parola mensile potrebbe farti pensare a 30 giorni o 12 mesi.
Tempo,Evento,Temporale,Tempo,descrivere,In che misura pensi a questa proprietà come descrivere qualcosa sul momento in cui avviene o è avvenuta qualcosa,recente,dire che qualcosa è recente indica qualcosa su quando è avvenuto.,frequente,frequente si riferisce alla tempistica di qualcosa ma è vago su quando.
Durata,Evento,Temporale,Durata,descrivere,"In che misura pensi a questa proprietà come descrivere la durata o l'età di qualcosa, breve o lunga",anziano,dire che qualcuno è anziano indica qualcosa sulla sua età.,consumato,qualcosa di consumato è probabilmente vecchio.
Lungo,Evento,Temporale,Lungo,riferirsi a,In che misura pensi a questa proprietà come riferirsi a un lungo periodo di tempo,antico,dire che qualcosa è antico significa che è vecchio o è avvenuto molto tempo fa.,consumato,qualcosa di consumato è probabilmente vecchio.
Breve,Evento,Temporale,Breve,riferirsi a,In che misura pensi a questa proprietà come riferirsi a un breve periodo di tempo,breve,dire che qualcosa è breve significa che dura solo un breve periodo di tempo.,fresco,qualcosa di fresco probabilmente non esiste da molto tempo.
Causato,Evento,Causale,Causale,N/A,N/A,N/A,N/A,N/A,N/A
Conseguente,Evento,Causale,Causale,riferirsi a,In che misura pensi a questa proprietà come riferirsi alla probabilità di conseguenze (altre cose che accadono come risultato),conseguente,dire che qualcosa è conseguente significa che probabilmente avrà conseguenze.,allarmante,qualcosa di allarmante probabilmente ha conseguenze ma potrebbe non averne.
Sociale,Evento,Sociale,Sociale,essere correlato a,"In che misura pensi a questa proprietà come essere correlato a interazioni tra persone, buone o cattive",cordiale,cordiale è una parola che potrebbe descrivere un'interazione tra persone.,attento,attento può riferirsi a un'interazione tra persone.
Umano,Cognizione,Sociale,Teoria della Mente,essere correlato a,"In che misura pensi a questa proprietà come essere correlato a qualcosa con intenzioni, piani o obiettivi umani o simili",premuroso,premuroso è una descrizione applicata principalmente agli esseri umani.,determinato,determinato di solito si riferisce a umani che intendono raggiungere qualcosa.
Comunicazione,Cognizione,Sociale,Comunicazione,descrivere,In che misura pensi a questa proprietà come descrivere qualcosa sul modo in cui una persona comunica,loquace,dire che qualcuno è loquace descrive qualcosa sul suo stile di comunicazione.,sicuro di sé,essere sicuro di sé può influenzare il modo in cui una persona comunica.
Sé,Cognizione,Self,Sé,essere correlato a,"In che misura pensi a questa proprietà come essere correlato alla tua visione di te stesso, una parte della tua immagine di sé",onesto,probabilmente ti vedi come onesto.,osservatore,essere osservatore può essere una parte abbastanza importante della tua immagine di sé.
Cognizione,Cognizione,Cognizione,Cognizione,essere correlato a,In che misura pensi a questa proprietà come essere correlato all'attività mentale o a una funzione della mente,intelligente,dire che qualcuno è intelligente è dire qualcosa sulle sue funzioni mentali.,solidale,essere solidale implica qualche attività mentale.
Beneficio,Valutazione,Cognitivo,Positivo,descrivere,In che misura pensi a questa proprietà come descrivere qualcuno o qualcosa che potrebbe aiutare o beneficiare te o gli altri,utile,le cose utili sono d'aiuto.,efficiente,le cose efficienti sono generalmente vantaggiose per la società.
Danno,Valutazione,Cognitivo,Negativo,descrivere,In che misura pensi a questa proprietà come descrivere qualcuno o qualcosa che potrebbe causare danni a te o agli altri,letale,le cose letali sono potenzialmente dannose.,sconosciuto,qualcosa di sconosciuto potrebbe essere dannoso.
Piacevole,Valutazione,Affettivo,Positivo,descrivere,In che misura pensi a questa proprietà come descrivere qualcuno o qualcosa che trovi piacevole,piacevole,le cose piacevoli sono gradevoli.,gentile,le cose gentili possono essere abbastanza piacevoli.
Spiacevole,Valutazione,Affettivo,Negativo,descrivere,In che misura pensi a questa proprietà come descrivere qualcuno o qualcosa che trovi spiacevole,orribile,le cose orribili sono spiacevoli.,noioso,le cose noiose possono essere abbastanza spiacevoli.
Felice,Emozione,Positivo,Alto,essere correlato a,In che misura pensi a questa proprietà come essere correlato al sentirsi felici,raggiante,raggiante significa sentirsi o comportarsi in modo molto felice.,sereno,essere sereno è una sensazione positiva abbastanza correlata all'essere felice.
Triste,Emozione,Negativo,Basso,essere correlato a,In che misura pensi a questa proprietà come essere correlato al sentirsi tristi,depresso,depresso significa sentirsi o comportarsi in modo molto triste.,apatico,essere apatico è uno stato a bassa energia e negativo che può essere correlato alla tristezza.
Arrabbiato,Emozione,Negativo,Alto,essere correlato a,In che misura pensi a questa proprietà come essere correlato al sentirsi arrabbiati,furioso,furioso significa sentirsi o comportarsi in modo molto arrabbiato.,annoiato,essere annoiato può essere frustrante o fastidioso.
Disgustato,Emozione,Negativo,Alto,essere correlato a,In che misura pensi a questa proprietà come essere correlato al sentirsi disgustati,ripugnante,le cose ripugnanti ti fanno sentire disgustato.,unto,le cose unte possono essere abbastanza disgustose.
Spaventato,Emozione,Negativo,Alto,essere correlato a,In che misura pensi a questa proprietà come essere correlato al sentirsi spaventati,spaventato,spaventato significa sentirsi o comportarsi con paura.,non familiare,le cose non familiari possono essere abbastanza spaventose.
Sorpreso,Emozione,Neutro,Alto,essere correlato a,In che misura pensi a questa proprietà come essere correlato al sentirsi sorpresi,scioccato,scioccato significa sentirsi o comportarsi in modo molto sorpreso.,imprevedibile,le cose imprevedibili a volte possono essere sorprendenti.
Motivazione,Motivazione,Generale,Generale,essere correlato a,In che misura pensi a questa proprietà come essere correlato al sentirsi fortemente motivati a fare qualcosa,urgente,qualcosa è urgente se richiede un'azione immediata.,scomodo,sentirsi a disagio può motivarti a fare qualcosa al riguardo.
Bisogni,Motivazione,Base,Base,riferirsi a,In che misura pensi a questa proprietà come riferirsi a qualcuno o qualcosa di necessario,essenziale,dire che qualcosa è essenziale significa che è necessario.,desiderato,qualcosa di desiderato può o meno essere necessario.
Attenzione,Attenzione,Generale,Generale,riferirsi a,In che misura pensi a questa proprietà come riferirsi a qualcuno o qualcosa che cattura la tua attenzione,notevole,dire che qualcosa è notevole significa che cattura la tua attenzione.,divertente,qualcosa di divertente può catturare la tua attenzione.
Attivazione,Attenzione,Generale,Attivazione,essere correlato a,"In che misura pensi a questa proprietà come essere correlato al sentirsi vigili, attivati, eccitati o in allerta in modo positivo o negativo",maniacale,maniacale significa sentirsi molto eccitati e in allerta.,ciarliero,essere ciarliero implica essere abbastanza energizzato.
