Nome,Tipo,Modalità,Sottomodalità,Relazione,Domanda (In che misura pensi a questa cosa come…),Esempio Alto,Spiegazione Alta,Esempio Medio,Spiegazione Media
Musica,Sensoriale,Udito,Forma,produce,In che misura pensi a questa cosa come che produce un suono musicale,orchestra,le orchestre producono suoni musicali.,carillon a vento,i carillon a vento producono un suono abbastanza musicale.
Parlato,Sensoriale,Udito,Fonema,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che parla,attrice,le attrici parlano molto spesso.,neonato,i neonati producono gorgoglii che suonano simili al parlato.
Gusto,Sensoriale,Gustazione,Qualità,avere,In che misura pensi a questa cosa come con un sapore caratteristico o definente,banana,le banane hanno un sapore molto caratteristico.,patata,le patate hanno un sapore sottile ma riconoscibile.
Odore,Sensoriale,Olfattivo,Qualità,avere,In che misura pensi a questa cosa come con un odore caratteristico o definente,arancia,le arance hanno un odore molto caratteristico.,terra,la terra ha un odore sottile ma riconoscibile.
Testa,Motorio,Motorio,Motorio,essere associato a,"In che misura pensi a questa cosa come associato ad azioni che usano il viso, la bocca o la lingua",fischietto,i fischietti sono oggetti che usi con il viso e la bocca.,candela,le candele sono cose che a volte si spengono soffiando.
Arto Superiore,Motorio,Motorio,Motorio,essere associato a,"In che misura pensi a questa cosa come associato ad azioni che usano il braccio, la mano o le dita",tastiera,le tastiere sono oggetti che usi con le mani e le dita.,scarpa,indossare le scarpe richiede relativamente poco coinvolgimento di mani o braccia.
Arto Inferiore,Motorio,Motorio,Motorio,essere associato a,In che misura pensi a questa cosa come associato ad azioni che usano la gamba o il piede,pedale,i pedali sono oggetti che azzioni con la gamba e il piede.,ascensore,usare un ascensore richiede solo un minimo coinvolgimento di gambe e piedi.
Pratica,Motorio,Motorio,Motorio,essere,In che misura pensi a questa cosa come un oggetto fisico che tu hai esperienza personale nell'usare,forchetta,le forchette sono oggetti che probabilmente usi con molta esperienza personale.,sega,probabilmente hai qualche esperienza nell'usare una sega.
Punto di Riferimento,Spaziale,Navigazione,Navigazione,avere,"In che misura pensi a questa cosa come con una posizione fissa, come su una mappa",biblioteca,le biblioteche e gli altri edifici hanno una posizione molto fissa.,cespuglio,i cespugli hanno una posizione fissa ma non abbastanza distintiva da essere segnata sulle mappe.
Percorso,Spaziale,Navigazione,Navigazione,mostrare,In che misura pensi a questa cosa come che mostra cambiamenti di posizione lungo una direzione o percorso particolare,razzo,i razzi seguono un tipico percorso verso il cielo.,elicottero,gli elicotteri potrebbero muoversi lungo vari percorsi orizzontali e verticali.
Scena,Spaziale,Scena,Scena,evocare,In che misura pensi a questa cosa come che evoca un ambiente o luogo fisico particolare,forno,pensare a un forno potrebbe evocare una cucina.,tazza,pensare a una tazza potrebbe evocare una varietà di luoghi diversi.
Vicino,Spaziale,Spazio del Sé,Prossimità,essere,In che misura pensi a questa cosa come spesso fisicamente vicino a te (a portata di mano) nella vita quotidiana,orologio da polso,"il tuo orologio è fisicamente molto vicino a te nella vita quotidiana, se lo indossi.",penna,potresti avere una penna vicino quando lavori.
Verso,Spaziale,Spazio del Sé,Verso,essere associato a,In che misura pensi a questa cosa come associato a movimenti verso o dentro di te,cibo,il cibo è qualcosa che tipicamente porti verso di te e dentro di te.,tazza,una tazza è qualcosa che tipicamente porti verso di te.
Lontano,Spaziale,Spazio del Sé,Lontano,essere associato a,In che misura pensi a questa cosa come associato a movimenti lontano da o fuori di te,vomito,il vomito è qualcosa che esce da te e si allontana da te.,chiave,una chiave è qualcosa che tipicamente allontani da te.
Numero,Numero,Numero,Numero,essere associato a,In che misura pensi a questa cosa come associato a un numero o quantità specifici,settimana,la parola settimana indica 7 giorni.,guanto,la parola guanto potrebbe farti pensare a 5 dita.
Tempo,Evento,Temporale,Tempo,essere,In che misura pensi a questa cosa come un evento o occorrenza che avviene a un momento tipico o prevedibile,pranzo,il pranzo è un evento che avviene tipicamente intorno a mezzogiorno.,vacanza,le vacanze cadono in date abbastanza prevedibili.
Durata,Evento,Temporale,Durata,essere,"In che misura pensi a questa cosa come un evento con una durata prevedibile, breve o lunga",film,i film hanno una durata abbastanza standard.,concerto,i concerti sono abbastanza variabili nella durata.
Lungo,Evento,Temporale,Lungo,being ,In che misura pensi a questa cosa come un evento che dura per un lungo periodo di tempo,vita,le vite delle persone durano tipicamente a lungo.,guerra,le guerre spesso durano diversi anni.
Breve,Evento,Temporale,Breve,being ,In che misura pensi a questa cosa come un evento che dura per un breve periodo di tempo,starnuto,uno starnuto è un evento molto breve.,risata,le risate durano tipicamente meno di un minuto.
Causato,Evento,Causale,Causale,essere,"In che misura pensi a questa cosa come causato da qualche evento, azione o sizione precedente chiara",rovesciamento,i rovesciamenti sono preceduti da un evento o azione che li causa.,amicizia,le amicizie possono svilupparsi senza alcuna causa identificabile.
Conseguente,Evento,Causale,Causale,essere,In che misura pensi a questa cosa come probabile che abbia conseguenze (che causi altre cose ad accadere),invasione,un'invasione porta probabilmente ad altri eventi.,idea,le idee a volte hanno conseguenze.
Sociale,Evento,Sociale,Sociale,essere,In che misura pensi a questa cosa come un'attività o evento che implica un'interazione tra persone,matrimonio,i matrimoni sono eventi che coinvolgono molte interazioni tra persone.,jogging,il jogging potrebbe o meno coinvolgere interazioni tra persone.
Umano,Cognizione,Sociale,Teoria della Mente,avere,"In che misura pensi a questa cosa come con intenzioni, piani o obiettivi umani o simili a quelli umani",lobbista,"i lobbisti hanno intenzioni, piani e obiettivi complessi.",bambino piccolo,i bambini piccoli hanno bisogni e obiettivi molto semplici.
Comunicazione,Cognizione,Sociale,Comunicazione,essere,In che misura pensi a questa cosa come una cosa o azione che le persone usano per comunicare,conversazione,le conversazioni sono un metodo che le persone usano per comunicare.,penna,le penne sono strumenti spesso usati per comunicare.
Sé,Cognizione,Self,Sé,essere,"In che misura pensi a questa cosa come correlato alla tua visione di te stesso, una parte della tua immagine di sé",onestà,probabilmente ti vedi come una persona onesta.,automobilista,probabilmente guidi ma questo potrebbe non essere una parte chiave della tua immagine di sé.
Cognizione,Cognizione,Cognizione,Cognizione,essere,In che misura pensi a questa cosa come una forma di attività mentale o una funzione della mente,pensiero,il pensiero è prodotto dall'attività mentale.,sport,gli sport richiedono un certo grado di sforzo puramente mentale.
Beneficio,Valutazione,Cognitivo,Positivo,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che potrebbe aiutare o beneficiare te o altri,cura,le cure di solito aiutano o beneficiano molte persone.,notizie,le notizie possono fornire informazioni che aiutano le persone.
Danno,Valutazione,Cognitivo,Negativo,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che potrebbe causare danni a te o agli altri,epidemia,le epidemie di solito causano danni a molte persone.,neve,la neve a volte può essere un pericolo.
Piacevole,Valutazione,Affettivo,Positivo,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che trovi piacevole,musica,la maggior parte delle persone trova molto piacevole ascoltare musica.,brezza,una brezza può essere piacevole quando si ha caldo.
Spiacevole,Valutazione,Affettivo,Negativo,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che trovi spiacevole,influenza,avere l'influenza è molto spiacevole.,polvere,la polvere può essere abbastanza spiacevole.
Felice,Emozione,Positivo,Alto,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che ti fa sentire felice,amore,l'amore è qualcosa che tipicamente rende le persone molto felici.,lunch,pranzare può essere riposante e divertente.
Triste,Emozione,Negativo,Basso,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che ti fa sentire triste,morte,la morte è qualcosa che tipicamente rende le persone molto tristi.,pioggia,la pioggia può rendere una giornata cupa.
Arrabbiato,Emozione,Negativo,Alto,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che ti fa sentire arrabbiato,mancanza di rispetto,la mancanza di rispetto è qualcosa che rende le persone molto arrabbiate.,faccenda domestica,le faccende domestiche possono essere fastidiose.
Disgustato,Emozione,Negativo,Alto,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che ti fa sentire disgustato,vomito,il vomito è qualcosa che rende le persone molto disgustate.,spazzatura,la spazzatura può essere abbastanza disgustosa.
Spaventato,Emozione,Negativo,Alto,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che ti fa sentire spaventato,pericolo,il pericolo è qualcosa che rende le persone spaventate.,tuono,il tuono forte può essere abbastanza spaventoso.
Sorpreso,Emozione,Neutro,Alto,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che ti fa sentire sorpreso,choc,uno choc è qualcosa di inaspettato che ti fa sentire molto sorpreso.,campanello,un campanello può essere abbastanza sorprendente.
Motivazione,Motivazione,Generale,Generale,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che ti motiva a fare qualcosa,dovere,il dovere è qualcosa che le persone sentono di dover fare.,immagine,un'immagine potrebbe darti un'idea.
Bisogni,Motivazione,Base,Base,essere,In che misura pensi a questa cosa come qualcuno o qualcosa di cui faresti fatica a vivere senza,rifugio,il rifugio è assolutamente necessario per la sicurezza e il benessere.,tovagliolo,vivere senza tovaglioli sarebbe scomodo.
Attenzione,Attenzione,Generale,Generale,essere,In che misura pensi a questa cosa come qualcuno o qualcosa che cattura la  attenzione,urlo,un urlo cattura la  attenzione ed è impossibile da ignorare.,gatto,vedere un gatto potrebbe farti guardare cosa fa.
Attivazione,Attenzione,Generale,Attivazione,essere,"In che misura pensi a questa cosa come qualcuno o qualcosa che ti fa sentire vigile, attivato, eccitato o in allerta in modo positivo o negativo",montagne russe,salire sulle montagne russe è un'attività tipicamente molto stimolante.,radio,ascoltare la radio può essere interessante.
