Nome,Tipo,Modalità,Sottomodalità,Relazione,Domanda (In che misura pensi a questo come…),Esempio Alto,Spiegazione Alta,Esempio Medio,Spiegazione Media
Parlato,Sensoriale,Udito,Fonema,essere associato a,In che misura pensi a questo come associato a suoni del parlato umano,parlato,parlare implica suoni del parlato umano.,borbottato,borbottare si riferisce spesso al parlato umano difficile da capire.
Gusto,Sensoriale,Gustazione,Qualità,essere associato a,In che misura pensi a questo come associato all'assaggiare qualcosa,sorseggiato,sorseggiare implica assaggiare una bevanda.,cucinato,cucinare è spesso accompagnato dall'assaggiare.
Odore,Sensoriale,Olfattivo,Qualità,essere associato a,In che misura pensi a questo come associato all'odorare qualcosa,cucinato,cucinare implica l'annusare il cibo.,fatto il bagno,quando fai il bagno spesso senti l'odore di sapone o shampoo.
Testa,Motorio,Motorio,Motorio,essere,"In che misura pensi a questo come un'azione o attività in cui usi il viso, la bocca o la lingua",sorriso,sorridere è un'azione che coinvolge il viso e la bocca.,respirato,respirare implica la bocca o il naso anche se non si muovono davvero.
Arto Superiore,Motorio,Motorio,Motorio,essere,"In che misura pensi a questo come un'azione o attività in cui usi il braccio, la mano o le dita",applaudito,applaudire è un'azione che coinvolge le braccia e le mani.,fatto jogging,fare jogging di solito implica le braccia in qualche misura.
Arto Inferiore,Motorio,Motorio,Motorio,essere,In che misura pensi a questo come un'azione o attività in cui usi la gamba o il piede,saltato,saltare richiede l'uso di gambe e piedi.,seduto,sedersi implica un minimo posizionamento delle gambe.
Pratica,Motorio,Motorio,Motorio,essere,In che misura pensi a questo come un'azione o attività corporea che tu hai esperienza personale nel fare,masticato,masticare è un'azione molto familiare che le persone fanno con molta esperienza.,cantato,cantare è un'attività che probabilmente hai qualche esperienza personale nel fare.
Punto di Riferimento,Spaziale,Navigazione,Navigazione,essere,In che misura pensi a questo come un'azione o attività in cui usi una mappa mentale del tuo ambiente,guidato,una mappa mentale ti dice dove stai andando quando guidi un'auto.,fatto acquisti,una mappa mentale dell'ambiente può guidarti quando fai acquisti.
Percorso,Spaziale,Navigazione,Navigazione,essere associato a,In che misura pensi a questo come associato a qualcuno o qualcosa che si sposta da un luogo a un altro,viaggiato,viaggiare implica andare da un posto all'altro.,cercato,cercare può o meno richiedere di cambiare posizione.
Scena,Spaziale,Scena,Scena,essere,In che misura pensi a questo come un'azione o attività che tipicamente avviene in un ambiente o luogo fisico particolare,rasato,radersi è tipicamente fatto in bagno.,grigliato,grigliare è spesso ma non sempre fatto in giardino.
Vicino,Spaziale,Spazio del Sé,Prossimità,essere,In che misura pensi a questo come un'azione o attività che coinvolge cose fisicamente vicine a te (a portata di mano),cenato,cenare implica interagire con cose vicine a te.,osservato,osservare può implicare cose vicine o lontane.
Verso,Spaziale,Spazio del Sé,Verso,essere associato a,In che misura pensi a questo come associato a qualcosa che viene verso o dentro di te,catturato,catturare implica ricevere qualcosa che viene verso di te.,fatto la doccia,uno degli aspetti del fare la doccia è portare acqua e sapone verso di te.
Lontano,Spaziale,Spazio del Sé,Lontano,essere associato a,In che misura pensi a questo come associato a qualcosa che si allontana da o esce da te,inviato,inviare implica spostare qualcosa lontano da te.,offerto,offrire è un suggerimento di dare qualcosa a qualcuno.
Numero,Numero,Numero,Numero,essere associato a,In che misura pensi a questo come associato a un numero o quantità specifici,triplicato,triplicare qualcosa significa renderlo 3 volte maggiore.,giocato a bowling,pensare al bowling potrebbe farti pensare a 12 birilli.
Tempo,Evento,Temporale,Tempo,essere,In che misura pensi a questo come un'azione o attività che avviene a un momento tipico o prevedibile,svegliato,svegliarsi è qualcosa che fai a una certa ora del giorno.,cucinato,cucinare è qualcosa che avviene tipicamente la sera.
Durata,Evento,Temporale,Durata,essere,"In che misura pensi a questo come un'azione o attività con una durata prevedibile, breve o lunga",fatto la doccia,fare la doccia richiede una quantità prevedibile di tempo.,cucinato,cucinare può richiedere una quantità di tempo abbastanza variabile.
Lungo,Evento,Temporale,Lungo,being ,In che misura pensi a questo come un'azione o attività che avviene per un lungo periodo di tempo,eroso,erodere è tipicamente un processo lento che richiede molto tempo.,sviluppato,sviluppare è tipicamente ma non sempre un processo lungo.
Breve,Evento,Temporale,Breve,being ,In che misura pensi a questo come un'azione o attività che avviene per un breve periodo di tempo,battuto le palpebre,sbattere le palpebre è un'azione che richiede pochissimo tempo.,rivelato,rivelare qualcosa è tipicamente ma non sempre un processo breve.
Causato,Evento,Causale,Causale,essere associato a,In che misura pensi a questo come associato a qualcuno o qualcosa che causa un cambiamento in qualcosa d'altro,scolpito,scolpire qualcosa rimuove parte di esso o cambia il suo aspetto.,stretto amicizia,fare amicizia con qualcuno può causare un cambiamento emotivo in loro o in te.
Conseguente,Evento,Causale,Causale,essere,In che misura pensi a questo come un'azione o attività che probabilmente avrà conseguenze (causerà altre cose ad accadere),ucciso,un omicidio scatena un'indagine e molte altre conseguenze.,pensato,pensare è spesso seguito da decisioni e azioni.
Sociale,Evento,Sociale,Sociale,essere,In che misura pensi a questo come un'azione o attività che implica un'interazione tra persone,collaborato,collaborare richiede interazioni tra persone.,guidato,guidare in macchina è spesso fatto con altre persone.
Umano,Cognizione,Sociale,Teoria della Mente,essere,"In che misura pensi a questo come un'azione o attività che coinvolge intenzioni, piani o obiettivi umani",inventato,inventare richiede una pianificazione complessa per raggiungere obiettivi.,cercato,cercare implica piani e obiettivi ma può essere fatto da animali non umani.
Comunicazione,Cognizione,Sociale,Comunicazione,essere,In che misura pensi a questo come un'azione o attività con cui le persone comunicano o trasmettono o ricevono informazioni,spiegato,spiegare è quando una persona chiarisce comunicando informazioni.,dipinto,dipingere può essere una forma artistica di comunicazione.
Sé,Cognizione,Self,Sé,essere,"In che misura pensi a questo come un'azione o attività tipica di te, qualcosa che fai comunemente e con cui ti identifichi",imparato,imparare è qualcosa che probabilmente cerchi di fare e di cui sei orgoglioso.,provato,provare è probabilmente qualcosa che fai la maggior parte delle volte.
Cognizione,Cognizione,Cognizione,Cognizione,essere,In che misura pensi a questo come un'attività mentale o stato mentale che implica il pensiero,considerato,considerare qualcosa implica pensarci su.,addolorato,addolorarsi è uno stato mentale che implica un certo grado di pensiero.
Beneficio,Valutazione,Cognitivo,Positivo,essere,In che misura pensi a questo come un'azione o attività che potrebbe aiutare o beneficiare te o gli altri,donato,donare è un modo per aiutare buone cause.,spiegato,spiegare può migliorare la comprensione tra le persone.
Danno,Valutazione,Cognitivo,Negativo,essere,In che misura pensi a questo come un'azione o attività che potrebbe causare danni a te o agli altri,infettato,infettare significa trasmettere una malattia.,urlato,urlare può creare ansia o paura.
Piacevole,Valutazione,Affettivo,Positivo,essere,In che misura pensi a questo come un'azione o attività che trovi piacevole,rilassato,rilassarsi è qualcosa che probabilmente trovi piacevole.,conversato,conversare è probabilmente qualcosa che trovi abbastanza piacevole.
Spiacevole,Valutazione,Affettivo,Negativo,essere,In che misura pensi a questo come un'azione o attività che trovi spiacevole,litigato,litigare è qualcosa che probabilmente trovi spiacevole.,aspettato,aspettare è probabilmente qualcosa che trovi abbastanza spiacevole.
Felice,Emozione,Positivo,Alto,essere associato a,In che misura pensi a questo come associato al sentirsi felici,elogiato,ti senti felice quando qualcuno ti loda.,chiacchierato,le persone si sentono tipicamente abbastanza felici quando chiacchierano.
Triste,Emozione,Negativo,Basso,essere associato a,In che misura pensi a questo come associato al sentirsi tristi,pianto,piangi quando ti senti triste.,partito,le persone spesso si sentono abbastanza tristi quando partono.
Arrabbiato,Emozione,Negativo,Alto,essere associato a,In che misura pensi a questo come associato al sentirsi arrabbiati,ingannato,ti senti arrabbiato quando qualcuno ti inganna.,ritardato,ritardare qualcosa spesso rende le persone abbastanza arrabbiate.
Disgustato,Emozione,Negativo,Alto,essere associato a,In che misura pensi a questo come associato al sentirsi disgustati,puzzato,ti senti disgustato quando qualcosa puzza.,vantato,sentire qualcuno vantarsi può farti sentire abbastanza disgustato.
Spaventato,Emozione,Negativo,Alto,essere associato a,In che misura pensi a questo come associato al sentirsi spaventati,minacciato,ti senti spaventato quando qualcuno o qualcosa ti minaccia.,incombuto,potresti sentirti spaventato quando qualcosa di grande incombe su di te.
Sorpreso,Emozione,Neutro,Alto,essere associato a,In che misura pensi a questo come associato al sentirsi sorpresi,scioccato,ti senti sorpreso quando qualcosa ti sciocca.,interrotto,potresti sentirti abbastanza sorpreso quando qualcuno ti interrompe.
Motivazione,Motivazione,Generale,Generale,essere,In che misura pensi a questo come un'azione o stato mentale in cui sei motivato a fare qualcosa,fatto esercizio,fare esercizio richiede di sentirti motivato.,cucinato,le persone sono tipicamente motivate a mangiare quando cucinano.
Bisogni,Motivazione,Base,Base,essere,In che misura pensi a questo come un'azione o attività che fornisce cose di cui faresti fatica a vivere senza,respirato,"respirare fornisce ossigeno, di cui hai bisogno per vivere.",pulito,pulire crea un ambiente favorevole alla salute.
Attenzione,Attenzione,Generale,Generale,essere,In che misura pensi a questo come un'azione che cattura la tua attenzione,urlato,urlare è un'azione che cattura l'attenzione delle persone.,starnutito,sentire qualcuno starnutire potrebbe brevemente catturare la tua attenzione.
Attivazione,Attenzione,Generale,Attivazione,essere,"In che misura pensi a questo come un'azione o attività che ti fa sentire vigile, attivato, eccitato o in allerta in modo positivo o negativo",litigato,"litigare rende le persone vigili, eccitate e in allerta.",cucinato,cucinare può essere abbastanza stimolante.
